scientific_name,common_name,local_name,family,order,max_size,habitat,iucn_status,human_use,source,water_type,region,season,temp_min,temp_max,ph_min,ph_max,stocking_density_per_ha,growth_duration_months,category,feeding_habit,market_value,is_native,data_quality,temp_avg,ph_avg,temp_range,data_source,completeness_score,temp_score
Rasbora daniconius,Slender Rasbora,Darikana,Cyprinidae,Cypriniformes,15.0 cm,"Freshwater, Brackish",LC,Ornamental,WB_Fish_Diversity_table_3,,,,,,,,,,,,,,,,,,auto,5,5
Rasbora rasbora,,Darikana,Cyprinidae,Cypriniformes,13.0 cm,"Freshwater, Brackish",LC,Ornamental,WB_Fish_Diversity_table_3,,,,,,,,,,,,,,,,,,auto,5,5
Salmophasia bacaila,,Chela,Cyprinidae,Cypriniformes,18.0 cm,"Freshwater, Brackish",LC,Food,WB_Fish_Diversity_table_3,,,,,,,,,,,,,,,,,,auto,5,5
Salmophasia horai,,Chela,Cyprinidae,Cypriniformes,10.0 cm,Freshwater,VU,Food,WB_Fish_Diversity_table_3,,,,,,,,,,,,,,,,,,auto,5,5
Salmophasia phulo,,Phulo Chela,Cyprinidae,Cypriniformes,12.0 cm,Freshwater,LC,Ornamental,WB_Fish_Diversity_table_3,,,,,,,,,,,,,,,,,,auto,5,5
Salmophasia sardinella,,Jhola,Cyprinidae,Cypriniformes,15.0 cm,Freshwater,LC,Ornamental,WB_Fish_Diversity_table_3,,,,,,,,,,,,,,,,,,auto,5,5
Schizothorax richardsonii,,,Cyprinidae,Cypriniformes,60.0 cm,Freshwater,VU,Food,WB_Fish_Diversity_table_3,,,,,,,,,,,,,,,,,,auto,4,5
Securicula gora,,Ghorchelwa,Cyprinidae,Cypriniformes,24.5 cm,Freshwater,LC,"Ornamental,
Food",WB_Fish_Diversity_table_3,,,,,,,,,,,,,,,,,,auto,5,5
Systomus clavatus,,,Cyprinidae,Cypriniformes,24.0 cm,Freshwater,NT,Food,WB_Fish_Diversity_table_3,,,,,,,,,,,,,,,,,,auto,4,5
Systomus sarana,Olive Barb,Swarna Punti,Cyprinidae,Cypriniformes,42.0 cm,"Freshwater, Brackish",LC,"Ornamental,
Food",WB_Fish_Diversity_table_3,,,,,,,,,,,,,,,,,,auto,5,5
Tor putitora,Golden Mahseer,Putitor,Cyprinidae,Cypriniformes,275.0 cm,Freshwater,EN,Food,WB_Fish_Diversity_table_3,,,,,,,,,,,,,,,,,,auto,5,5
Psilorhynchus arunachalensis,,,Psilorhynchidae,Cypriniformes,,Freshwater,DD,Ornamental,WB_Fish_Diversity_table_3,,,,,,,,,,,,,,,,,,auto,3,5
Psilorhynchus balitora,,Balitora,Psilorhynchidae,Cypriniformes,7.0 cm,Freshwater,LC,Ornamental,WB_Fish_Diversity_table_3,,,,,,,,,,,,,,,,,,auto,5,5
Psilorhynchus nudithoracicus,,,Psilorhynchidae,Cypriniformes,5.8 cm,Freshwater,LC,Ornamental,WB_Fish_Diversity_table_3,,,,,,,,,,,,,,,,,,auto,4,5
Psilorhynchus homaloptera,,Balitora,Psilorhynchidae,Cypriniformes,9.4 cm,Freshwater,LC,Food,WB_Fish_Diversity_table_3,,,,,,,,,,,,,,,,,,auto,5,5
Psilorhynchus sucatio,,Balitora,Psilorhynchidae,Cypriniformes,8.2 cm,Freshwater,LC,Ornamental,WB_Fish_Diversity_table_3,,,,,,,,,,,,,,,,,,auto,5,5
Aplocheilus panchax,,Kanpona,Aplocheilidae,Cyprinodontiformes,9.0 cm,"Freshwater, Brackish",LC,Food,WB_Fish_Diversity_table_3,,,,,,,,,,,,,,,,,,auto,5,5
Gambusia affinis,,,Poeciliidae,Cyprinodontiformes,4.0 cm,"Freshwater, Brackish",LC,Ornamental,WB_Fish_Diversity_table_3,,,,,,,,,,,,,,,,,,auto,4,5
Poecilia reticulata,Guppy,,Poeciliidae,Cyprinodontiformes,5.0 cm,"Freshwater, Brackish",NE,Ornamental,WB_Fish_Diversity_table_3,,,,,,,,,,,,,,,,,,manual+auto,4,5
Rhinomugil corsula,,Khsola,Mugilidae,Mugiliformes,45.0 cm,"Freshwater, Brackish",LC,"Ornamental,
Food",WB_Fish_Diversity_table_3,,,,,,,,,,,,,,,,,,auto,5,5
Sicamugil cascasia,,,Mugilidae,Mugiliformes,10.0 cm,Freshwater,LC,Ornamental,WB_Fish_Diversity_table_3,,,,,,,,,,,,,,,,,,auto,4,5
Chitala chitala,Clown Knifefish,Chital,Notopteridae,Osteoglossiformes,122.0 cm,Freshwater,NT,"Ornamental,
Food",WB_Fish_Diversity_table_3,,,,,,,,,,,,,,,,,,auto,5,5
Notopterus notopterus,Bronze Featherback,Pholui,Notopteridae,Osteoglossiformes,60.0 cm,"Freshwater, Brackish",NE,"Ornamental,
Food",WB_Fish_Diversity_table_3,,,,,,,,,,,,,,,,,,auto,5,5
Chanda nama,,Chanda,Ambassidae,Perciformes,11.0 cm,"Freshwater, Brackish",LC,"Ornamental,
Food",WB_Fish_Diversity_table_3,,,,,,,,,,,,,,,,,,auto,5,5
Parambassis baculis,,,Ambassidae,Perciformes,5.0 cm,Freshwater,LC,Ornamental,WB_Fish_Diversity_table_3,,,,,,,,,,,,,,,,,,auto,4,5
Parambassis lala,,,Ambassidae,Perciformes,3.9 cm,"Freshwater, Brackish",NT,Ornamental,WB_Fish_Diversity_table_3,,,,,,,,,,,,,,,,,,auto,4,5
Parambassis ranga,,Chanda,Ambassidae,Perciformes,8.0 cm,"Freshwater, Brackish",LC,"Ornamental,
Food",WB_Fish_Diversity_table_3,,,,,,,,,,,,,,,,,,auto,5,5
Anabas cobojius,,,Anabantidae,Anabantiformes,30.0 cm,Freshwater,DD,Food,WB_Fish_Diversity_table_3,,,,,,,,,,,,,,,,,,auto,4,5
Badis andrewraoi,,,Badidae,Perciformes,3.9 cm,Freshwater,NE,Ornamental,WB_Fish_Diversity_table_4,,,,,,,,,,,,,,,,,,auto,4,5
Badis assamensis,,Napit,Badidae,Perciformes,6.8 cm,Freshwater,DD,"Ornamental,
Food",WB_Fish_Diversity_table_4,,,,,,,,,,,,,,,,,,auto,5,5
